date,a2c,dji
2022-05-13,898808.9397564546,937954.548092568
2022-05-16,890870.2520275727,938734.1147852638
2022-05-17,916671.217069687,951294.9762926606
2022-05-18,874728.2093639985,917370.1410650994
2022-05-19,865135.6070690766,910467.6102869802
2022-05-20,867054.0866528169,910723.0846647779
2022-05-23,886966.9727764741,928736.5887331362
2022-05-24,873801.9763317719,930145.9652004068
2022-05-25,883990.0287457124,935729.4174706239
2022-05-26,905226.148710312,950788.0673323491
2022-05-27,935856.4216595307,967561.4680456745
2022-05-31,929174.7498760835,961069.6877204106
2022-06-01,926396.0507794038,955916.5020971658
2022-06-02,948822.9687939301,968590.4209739799
2022-06-03,926131.5879498139,958435.5136013648
2022-06-06,926197.7036572114,958904.016057219
2022-06-07,937245.6690197602,966605.3452295252
2022-06-08,926660.8201733247,958761.769744414
2022-06-09,901918.3195782319,940172.3388047713
2022-06-10,867252.4337750092,914536.1393258254
2022-06-13,828815.7045117036,889015.045563201
2022-06-14,834042.1154156342,884589.5920762658
2022-06-15,851639.6233349458,893436.9713415785
2022-06-16,816973.6864376679,871836.7549451077
2022-06-17,824449.3598385468,870721.2593600919
2022-06-21,845429.0387402192,889408.6126614695
2022-06-22,841847.2943783418,888035.9357429025
2022-06-23,854449.6430874482,893694.2095736548
2022-06-24,885159.6738567963,917679.2138535619
2022-06-27,879190.0488262788,915860.7938891894
2022-06-28,852857.8588925019,901549.1078652652
2022-06-29,854582.2832546845,903947.2669021052
2022-06-30,843173.9004269257,896551.1983170782
2022-07-01,845097.4383221284,905926.7665910978
2022-07-05,855709.929052414,902155.9306356908
2022-07-06,863072.2247448579,904191.0770822527
2022-07-07,880914.5753765717,914296.1413468609
2022-07-08,881312.4958782807,912944.4030855387
2022-07-11,869174.4899426118,908157.7008626044
2022-07-12,857301.7643414155,902549.4977339593
2022-07-13,855046.6771221772,896474.2715111133
2022-07-14,862873.3666821137,892319.4843081833
2022-07-15,878062.5052166596,911490.9871598236
2022-07-18,869572.4104443208,905208.6503055337
2022-07-19,896103.816099228,927187.0711984901
2022-07-20,910099.0909405366,928579.264311174
2022-07-21,922900.1955242768,933300.4194331678
2022-07-22,910165.3088360444,929291.5200486506
2022-07-25,904394.7462444917,931935.2531199169
2022-07-26,889736.1683788911,925278.5808688496
2022-07-27,928007.4550915376,937981.6317905261
2022-07-28,942135.3701000825,947654.6655538832
2022-07-29,956594.8855267182,956845.7688094575
2022-08-01,954538.8607464448,955484.4146973898
2022-08-02,947773.2925243989,943766.6755352501
2022-08-03,972978.0921307221,955895.2220487702
2022-08-04,977422.0486736909,953399.1975487205
2022-08-05,975166.9614544526,955632.1232686064
2022-08-08,966875.8269329682,956479.0009165215
2022-08-09,957191.868467392,954785.5870118419
2022-08-10,983325.2514324799,970374.189736553
2022-08-11,979478.0734539643,971165.4206268988
2022-08-12,998978.7327404633,983528.4459624465
2022-08-15,1005279.753812851,987938.7644416991
2022-08-16,1002560.3238201753,994917.9375331576
2022-08-17,995397.0394726411,989916.2157837874
2022-08-18,1000570.5169354096,990461.5312485562
2022-08-19,982396.6680737153,981946.2117758553
2022-08-22,955003.1013317719,963210.5516266491
2022-08-23,952482.733778061,958723.6477325823
2022-08-24,953079.6145306245,960461.1010957062
2022-08-25,969197.2342358247,969857.664925496
2022-08-26,927808.6992169038,940481.4684917589
2022-08-29,915537.8487377778,935109.2235467946
2022-08-30,905986.6326275483,926133.0260206059
2022-08-31,897164.9374371186,917963.2512909707
2022-09-01,892787.300977768,922216.2453482611
2022-09-02,881179.8557110444,912370.183170008
2022-09-06,875342.9730358735,907326.2996135225
2022-09-07,889338.3500652924,920027.2452897694
2022-09-08,892389.2782879487,925656.7284668101
2022-09-09,910032.5664806977,936645.0854354113
2022-09-12,924624.8242626801,943334.6450339991
2022-09-13,875542.0354748383,906151.4019682793
2022-09-14,878725.8082409516,907028.8341241849
2022-09-15,858495.5258465424,901981.1383665162
2022-09-16,853720.0710735932,897920.1199329871
2022-09-19,860681.7382794038,903666.7002747288
2022-09-20,855628.3318462983,894535.2835720076
2022-09-21,842263.5065518037,879315.2125945113
2022-09-22,833686.0409451142,876195.1819694492
2022-09-23,822781.3944073335,862029.1561698371
2022-09-26,817063.0499401704,852427.2455628823
2022-09-27,818126.9303570405,848761.8425745262
2022-09-28,826770.8693295136,864748.0521927895
2022-09-29,805227.520811142,851401.7634446094
2022-09-30,789801.4080486909,836832.8391886088
2022-10-03,814270.4021664277,859129.9487207732
2022-10-04,841598.568517746,883176.403407812
2022-10-05,844391.2673855439,881939.7139642864
2022-10-06,837476.0446758881,871832.9427439246
2022-10-07,803033.235517563,853475.3732941538
2022-10-10,789535.4123974458,850739.6353077653
2022-10-11,777433.9387112275,851797.3788897824
2022-10-12,775040.2333202973,850971.7812902628
2022-10-13,799110.2850552216,875089.359133704
2022-10-14,776636.0539456025,863323.1993266856
2022-10-17,800307.1632977143,879374.6715532638
2022-10-18,807089.2859936372,889220.7337315168
2022-10-19,804762.0539684907,886307.8137378986
2022-10-20,805227.520811142,883679.5001669403
2022-10-21,826770.8693295136,905498.54829103
2022-10-24,838207.4560757295,917648.3179544206
2022-10-25,854232.0846005097,927469.34478162
2022-10-26,835215.3882046357,927538.3626925929
2022-10-27,825707.0400066987,933194.9295675916
2022-10-28,861612.5697765962,957331.4546198986
2022-10-31,850242.5585842744,953577.7451205532
2022-11-01,843127.9157772675,951254.4645427738
2022-11-02,814004.4065151826,936529.9797190897
2022-11-03,790067.3526058808,932261.8506541168
2022-11-04,804496.1094113007,943972.0792109404
2022-11-07,817927.5102596894,956317.6366992756
2022-11-08,825773.5133724824,966042.7326131193
2022-11-09,804296.6382198945,947197.5428030535
2022-11-10,870389.5065746919,982197.7032568944
2022-11-11,885283.8324108735,983144.153323773
2022-11-14,877703.7227612153,976992.6261787383
2022-11-15,888342.3225536958,978630.5071228988
2022-11-16,876174.3755016938,977491.6262440578
2022-11-17,877304.7803784028,977272.908313489
2022-11-18,878302.0341473237,983080.9959608875
2022-11-21,868860.2615032807,981758.1052518021
2022-11-22,885682.6726055756,993347.4244427414
2022-11-23,893528.777906479,996142.848981983
2022-11-25,888342.3225536958,1000599.2552665843
2022-11-28,869325.7283459321,986104.0146006166
2022-11-29,860814.8893871919,986193.4590821085
2022-11-30,904034.5331555024,1007670.7177657906
2022-12-01,905297.7825756684,1001997.0244347303
2022-12-02,900045.007139267,1003012.7769052073
2022-12-05,885084.2590313569,988948.4856685133
2022-12-06,866134.0870953217,978730.0795418622
2022-12-07,861745.7208843842,978776.1673472109
2022-12-08,875841.8553906098,984123.604535222
2022-12-09,870456.0310345307,975237.7618669271
2022-12-12,889472.8296185151,990636.3235177308
2022-12-13,899978.4826794282,993654.4488842995
2022-12-14,892398.37302977,989509.2775321152
2022-12-15,859019.5464764253,967248.5261575038
2022-12-16,847649.382001938,959040.3449234111
2022-12-19,836346.6105862275,954294.0975518386
2022-12-20,837613.5898724213,956980.0493287453
2022-12-21,851483.5820904389,972325.1263659345
2022-12-22,830011.7141552583,962158.2703030438
2022-12-23,830878.6269894257,967298.3692655106
2022-12-27,823009.9892101899,968394.57625051
2022-12-28,809740.147764267,957736.685915817
2022-12-29,830945.3047314301,967789.858725514
2022-12-30,829811.6809292451,965647.1740664716
2023-01-03,821943.0942440644,965330.2492815424
2023-01-04,824076.9863644257,969216.4185473715
2023-01-05,808073.1020260468,959320.5132611117
2023-01-06,831745.488729538,979728.4210636519
2023-01-09,841414.4766369477,976437.6379646987
2023-01-10,846615.7492657319,981869.3987669407
2023-01-11,861285.9765759126,989703.3015027811
2023-01-12,867687.4485607758,996023.7034703776
2023-01-13,870154.7804852143,999305.1552112107
2023-01-17,874089.1249218598,987892.4490422499
2023-01-18,862819.7179241792,970008.5598141194
2023-01-19,852750.5613766328,962655.5634126097
2023-01-20,875822.7462139741,972296.2219151725
2023-01-23,895760.9749889985,979697.8096571362
2023-01-24,895360.9085369721,982739.2634190051
2023-01-25,893493.8295727387,983027.056159072
2023-01-26,907763.8882427827,989015.7397252074
2023-01-27,911564.775007309,989850.8962769475
2023-01-30,894160.5048046723,982247.7739590016
2023-01-31,906630.3155346528,992996.0191515884
2023-02-01,927968.7257977143,993197.6675246205
2023-02-02,953308.3115215913,992060.9487897343
2023-02-03,945373.0981884614,988334.0953942464
2023-02-06,933836.7758465424,987314.7014181616
2023-02-07,957175.8249340669,995054.2663993498
2023-02-08,945639.7069683686,989004.1324260825
2023-02-09,940438.5365276948,981746.384155627
2023-02-10,936104.0234509126,986681.0794424036
2023-02-13,952307.9921093598,997653.9600121718
2023-02-14,956375.6920300141,993090.12931214
2023-02-15,960843.3562145844,994219.9064269615
2023-02-16,944172.6944561616,981658.191441688
2023-02-17,932369.8655224458,985440.691594745
2023-02-21,910231.1179791108,965132.697602319
2023-02-22,908897.4609509126,962671.0398114428
2023-02-23,923967.7547131196,965841.1980371374
2023-02-24,907497.1772747651,956024.0403096463
2023-02-27,912365.0100994721,958126.4408129024
2023-02-28,910364.5756512299,951356.4266997923
2023-03-01,903696.2905102387,951506.1836179132
2023-03-02,914832.3420239106,961461.4909644003
2023-03-03,934503.6554546967,972747.1996252891
2023-03-06,938971.4218273774,973926.250862866
2023-03-07,927301.9483776704,957175.8940522152
2023-03-08,934970.552930893,955484.4146973898
2023-03-09,921567.1516247407,939650.0103441519
2023-03-10,905363.3873425141,929593.0822317968
2023-03-13,910297.74462706,926956.6321717462
2023-03-14,931302.9194622651,936752.5667493668
2023-03-15,931836.4435864106,928571.4123147071
2023-03-16,957976.0600262299,939407.9640182831
2023-03-17,956642.505186142,928204.6444217709
2023-03-20,959222.0396557465,939350.5534064351
2023-03-21,966974.3362713471,948556.8485682169
2023-03-22,957350.7709789887,933102.5832613187
2023-03-23,972922.1952343598,935291.5833198105
2023-03-24,975461.7741528169,939145.1497307448
2023-03-27,967909.970609726,944812.8118181423
2023-03-28,963365.4609661713,943710.7442850552
2023-03-29,983548.1237011567,953130.5796116197
2023-03-30,994976.126646103,957250.7725112756
2023-03-31,1009210.8282299653,969343.9850406949
2023-04-03,1007606.9858379975,978870.1637107125
2023-04-04,1002060.1130200044,973079.6008090515
2023-04-05,990632.1100750581,975420.0647414179
2023-04-06,996245.9161053315,975494.9432004783
2023-04-10,995711.2679119721,978443.993757549
2023-04-11,986354.9245281831,981306.7861505348
2023-04-12,980741.3228741303,980191.3474640441
2023-04-13,998985.885908188,991354.49670182
2023-04-14,993438.9109020844,987182.1278546274
2023-04-17,997047.7862072602,990116.0434040157
2023-04-18,1000121.9111309663,989808.6775713069
2023-04-19,997248.27927977,987489.2660932357
2023-04-20,990698.941099228,984273.3614533431
2023-04-21,987491.0519390717,984924.166783688
2023-04-24,983147.1375561372,986859.6270142363
2023-04-25,962162.5025311128,976821.5892122217
2023-04-26,976464.1373272553,970151.602706276
2023-04-27,997181.5504437104,985425.2151959118
2023-04-28,1008007.971983017,993349.1313984953
2023-05-01,1008609.349012436,991995.6292828942
2023-05-02,999186.2767925874,981299.2755452188
2023-05-03,990765.7721233979,973425.088653592
